临沂电信组播,#genre#
BTV纪实 LD,http://144.52.146.229:5002/udp/239.21.1.194:5002
BTV卡酷少儿,http://144.52.146.229:5002/udp/239.21.1.49:5002
CCTV1,http://144.52.146.229:5002/udp/239.21.1.1:5002
CCTV1,http://144.52.146.229:5002/udp/239.21.1.120:5002
CCTV10,http://144.52.146.229:5002/udp/239.21.1.11:5002
CCTV10,http://144.52.146.229:5002/udp/239.21.1.155:5002
CCTV11,http://144.52.146.229:5002/udp/239.21.1.12:5002
CCTV11,http://144.52.146.229:5002/udp/239.21.2.2:5002
CCTV12,http://144.52.146.229:5002/udp/239.21.1.13:5002
CCTV12,http://144.52.146.229:5002/udp/239.21.1.156:5002
CCTV13,http://144.52.146.229:5002/udp/239.21.1.14:5002
CCTV13,http://144.52.146.229:5002/udp/239.21.2.1:5002
CCTV13,http://144.52.146.229:5002/udp/239.21.2.3:5002
CCTV14,http://144.52.146.229:5002/udp/239.21.1.15:5002
CCTV14,http://144.52.146.229:5002/udp/239.21.1.157:5002
CCTV15,http://144.52.146.229:5002/udp/239.21.1.16:5002
CCTV15,http://144.52.146.229:5002/udp/239.21.2.4:5002
CCTV17,http://144.52.146.229:5002/udp/239.21.1.186:5002
CCTV17,http://144.52.146.229:5002/udp/239.21.1.206:5002
CCTV2,http://144.52.146.229:5002/udp/239.21.1.2:5002
CCTV2,http://144.52.146.229:5002/udp/239.21.1.151:5002
CCTV3,http://144.52.146.229:5002/udp/239.21.1.3:5002
CCTV3,http://144.52.146.229:5002/udp/239.21.2.45:5002
CCTV4,http://144.52.146.229:5002/udp/239.21.1.4:5002
CCTV4,http://144.52.146.229:5002/udp/239.21.1.154:5002
CCTV4北美,http://144.52.146.229:5002/udp/239.21.2.29:5002
CCTV4欧洲,http://144.52.146.229:5002/udp/239.21.2.28:5002
CCTV5,http://144.52.146.229:5002/udp/239.21.1.5:5002
CCTV5,http://144.52.146.229:5002/udp/239.21.2.46:5002
CCTV5+,http://144.52.146.229:5002/udp/239.21.1.142:5002
CCTV5+ LD,http://144.52.146.229:5002/udp/239.21.1.190:5002
CCTV6,http://144.52.146.229:5002/udp/239.21.1.6:5002
CCTV6,http://144.52.146.229:5002/udp/239.21.2.47:5002
CCTV7,http://144.52.146.229:5002/udp/239.21.1.7:5002
CCTV7,http://144.52.146.229:5002/udp/239.21.1.152:5002
CCTV8,http://144.52.146.229:5002/udp/239.21.1.8:5002
CCTV8,http://144.52.146.229:5002/udp/239.21.2.48:5002
CCTV9,http://144.52.146.229:5002/udp/239.21.1.9:5002
CCTV9,http://144.52.146.229:5002/udp/239.21.1.153:5002
CETV1,http://144.52.146.229:5002/udp/239.21.2.7:5002
CETV2,http://144.52.146.229:5002/udp/239.21.2.8:5002
CETV4,http://144.52.146.229:5002/udp/239.21.1.222:5002
CGTN,http://144.52.146.229:5002/udp/239.21.1.10:5002
CGTN,http://144.52.146.229:5002/udp/239.21.2.30:5002
